spaceFormID,spaceEditorID,spaceDisplayName,isWorldspace,esmNumber
01008B56,TestMadWorld,MadWorld,1,7
0101DC9A,,,0,7
0104312A,,,0,7
010119CC,DLC04REHoldingCell,Quick Test Cell,0,7
01024072,,,0,7
0103DA36,,,0,7
01050FFA,PackInDLC04DummyNukaColaStorageCell,,0,7
0101DC9B,,,0,7
0101E411,,,0,7
0103000D,DLC04NoLocHoldingCell,Holding Cell,0,7
0103D627,DLC04KiddieKingdomHoldingCell,Holding Cell,0,7
01032F65,PackInDLC04RobotLiftPackInStorageCell,,0,7
0103E441,,,0,7
01055D99,,,0,7
01024073,,,0,7
0103DA37,,,0,7
01046E4D,,,0,7
0101DC9C,,,0,7
0101E412,DLC04WarehouseAmbush,Ambush Warehouse Cell,0,7
0103365A,,,0,7
0104049A,,,0,7
01024074,,,0,7
01052898,DLC04WWMineCart01OLD,,0,7
0104781C,,,0,7
01052910,DLC04WWMineCart01OLDDUPLICATE000,,0,7
0104950F,,,0,7
0100F9A9,TestCory01,Quick Test Cell,0,7
0101DC9D,,,0,7
0103365B,,,0,7
01025501,,,0,7
01008D43,,,0,7
01053893,,,0,7
01024075,,,0,7
01024B01,,,0,7
0104781D,PackInDLC04StreetLampOn01PackInStorageCell,,0,7
01049510,PackInDLC04BlueRoundLightCOPY0000StorageCell,,0,7
0101DC9E,,,0,7
01025502,PackInFloraFeverBlossom01PackInStorageCell,,0,7
0104A08C,TestDrew,Quick Test Cell,0,7
01008D44,,,0,7
01046DD8,,,0,7
01024076,,,0,7
01024B02,,,0,7
0101DC9F,PackInDLC04TrashLoot020StorageCell,,0,7
01024077,,,0,7
0101DCA0,,,0,7
0100880A,DLC04AliasCell,DLC04 Alias Cell,0,7
01051B9A,DLC04WorkshopHoldingCell,,0,7
0101DC97,,,0,7
0001F7A9,QASmoke,Tunnels,0,7
01046BE7,,,0,7
0101DC98,,,0,7
01043128,,,0,7
01049F50,,,0,7
0101DC99,,,0,7
01043129,,,0,7
0103DA35,,,0,7
01050FF9,PackInDLC04NukaColaMachineStorageCell,,0,7
